Vin,Iin,Vout,Iout,fs,D,R,P_loss
20.08075834556906,5.123611171275583,41.536956375296846,2.0768478187648425,152023.41575449766,0.5204615552177562,20,16.62006054087736
24.082367464376823,4.842793587098923,44.220954852639636,2.211047742631982,186889.50175577705,0.45980960546772615,20,18.851292314684173
22.100097971097586,9.450628630813748,41.350314905756896,4.13503149057569,167413.0207625252,0.4703857826936163,10,37.87496434891756
24.96025765896683,16.26439037698202,57.6374462582993,5.76374462582993,163558.15685591442,0.5708776330342189,10,73.75585335765788
22.250329650465396,14.072732782426437,72.32637246380823,3.6163186231904114,104638.59597697227,0.6948953712052757,20,51.56773580322346
23.88898252962111,3.6682349292456986,38.30784436538087,1.9153922182690437,177489.60958300985,0.38146695449002266,20,14.255853143184268
15.78276275518059,15.448313569882862,44.628880372419275,4.462888037241927,172191.27597357918,0.6495930455433149,10,44.643371711527124
24.448217522096808,5.276701253747537,46.511520962844195,2.3255760481422096,139768.7965514405,0.47860774105175297,20,20.83986093688597
23.057991456415863,9.866204575088046,61.71452692732105,3.0857263463660525,108298.20908193936,0.6294199096907795,20,37.060719106479496
22.279015793346897,11.541994857603614,31.982685467643137,6.396537093528627,160520.4342491487,0.310523808600429,5,52.56585177484132
18.701326102928363,11.210966721633955,28.9025579365134,5.78051158730268,161807.9256290666,0.35952432097747916,5,42.58837353565153
21.02178876220371,7.6263102767823625,36.219286064178284,3.6219286064178284,176499.2099388611,0.4248707092585571,10,29.135015373664203
19.979153825880992,4.97844451420209,40.84099151927317,2.0420495759636585,112607.59170031502,0.5147571181556994,20,16.06577934898978
20.586214273089187,11.954357307592778,44.88247887183865,4.488247887183865,184851.12714817963,0.5454917490057984,10,44.65127006307014
23.68830015978198,5.45889129874191,46.56765212669458,2.328382606334729,165373.61828915912,0.495422040038907,20,20.884544394578327
15.627004669738332,27.846073269620778,41.645501333751994,8.329100266750398,199804.47046758927,0.6285676046805377,5,88.28116075033182
22.73598385601147,23.28576522970723,65.75577087537661,6.575577087537662,111131.640847384,0.6574048141960874,10,97.04264199599407
23.231877662482425,7.014352269011963,36.49511659935765,3.649511659935765,173817.57775565085,0.3692391788308475,10,29.767220235170896
18.54862516220557,8.307271834877172,35.518027804506886,3.5518027804506884,147281.53652545053,0.48250261017763113,10,27.935441473511943
23.037557451749322,7.8399079591161955,38.437272669933236,3.843727266993324,108741.51938714918,0.4060992441764759,10,32.86993699428646
22.392026901985375,6.0425133649171405,33.236523769242474,3.3236523769242474,180491.14307510803,0.332466163494636,10,24.837470596488785
17.381926903445454,34.304350118816664,48.73729515701058,9.747459031402116,109987.08057299949,0.6469796497030671,5,121.21091839115826
17.369364112635292,7.314664849777725,46.121901723745495,2.3060950861872747,150495.7863589267,0.6264694628511114,20,20.689586206942167
21.429572508534108,6.051113839832537,32.54541147383211,3.254541147383211,173564.53078380506,0.347579064526694,10,23.7524019879813
